2019-08-09 08:31:33.327338	1
2019-08-09 10:08:50.244138	2
2019-08-09 11:50:37.211570	1
2019-08-09 13:01:49.961722	1
2019-08-09 15:06:18.394524	3
2019-08-12 09:22:50.285643	1
2019-08-12 11:39:52.626548	1
2019-08-12 14:19:57.396471	1
2019-08-13 08:33:59.529152	11
2019-08-13 09:54:00.385763	1
2019-08-13 11:54:00.385763	1
2019-08-13 14:10:00.385763	1
2019-08-14 08:45:00.385763	11
2019-08-14 11:33:30.203019	1
2019-08-14 12:56:01.601905	1
2019-08-14 14:57:35.626383	1
2019-08-15 08:53:41.007629	11
2019-08-15 09:49:40.911565	2
2019-08-15 11:37:38.708835	1
2019-08-15 14:12:05.592757	3
2019-08-16 08:50:29.050670	11
2019-08-16 10:31:39.260033	2
2019-08-16 11:47:52.206340	1
2019-08-16 14:05:29.003371	1
2019-08-19 08:45:48.686217	1
2019-08-19 11:26:31.854342	3
2019-08-19 12:42:43.153502	2
2019-08-19 14:05:46.615838	1
2019-08-19 16:00:26.999758	1
2019-08-20 08:45:29.515676	1
2019-08-20 11:36:24.175503	1
2019-08-20 13:40:48.895628	1
2019-08-21 08:54:05.942004	11
2019-08-21 11:44:10.621770	1
2019-08-21 14:30:53.953962	1
2019-08-22 08:57:52.374187	11
2019-08-22 10:24:14.387748	2
2019-08-22 11:30:22.768936	3
2019-08-22 14:35:59.094918	2
2019-08-26 08:20:34.349544	11
2019-08-26 08:57:57.732057	4
2019-08-26 10:35:12.088448	2
2019-08-26 12:15:24.311680	1
2019-08-27 08:35:13.610551	11
2019-08-27 10:40:41.282539	1
2019-08-27 11:48:29.817033	1
2019-08-27 14:00:11.745208	1
2019-08-27 15:55:05.677601	2
2019-08-28 08:57:29.583352	11
2019-08-28 11:50:54.841839	1
2019-08-29 08:57:30.776594	11
2019-08-29 10:39:00.611387	2
2019-08-29 11:52:55.916684	11
2019-08-29 13:40:04.790135	11
2019-08-29 14:35:35.028987	2
2019-08-30 08:40:27.266807	11
2019-08-30 09:35:46.399463	2
2019-08-30 11:42:37.278980	1
2019-08-30 13:30:10.655976	11
2019-08-30 14:56:20.677482	2
2019-09-02 08:21:15.451946	11
2019-09-02 08:58:39.748733	2
2019-09-02 09:54:09.936611	1
2019-09-02 11:47:34.646590	1
2019-09-02 13:00:08.050279	1
2019-09-02 15:17:20.572414	2
2019-09-03 08:55:13.625899	11
2019-09-03 09:20:55.426253	2
2019-09-03 10:25:50.775606	2
2019-09-03 11:52:39.999013	11
2019-09-03 13:45:59.964760	1
2019-09-03 15:24:34.620138	3
2019-09-04 09:01:12.389165	11
2019-09-04 09:22:08.123848	24
2019-09-04 10:30:12.642414	2
2019-09-04 11:45:37.076329	24
2019-09-04 12:51:58.730536	2
2019-09-04 13:44:04.832263	1
2019-09-04 15:05:35.284852	4
2019-09-05 08:52:44.349563	11
2019-09-05 09:28:02.052565	2
2019-09-05 10:05:33.475577	24
2019-09-05 11:48:54.630877	24
2019-09-05 12:50:59.735991	1
2019-09-05 13:31:45.207062	24
2019-09-05 14:54:48.643701	11
2019-09-06 08:56:52.791744	11
2019-09-06 09:25:44.843867	24
2019-09-06 12:06:15.257517	24
2019-09-06 13:03:01.738618	1
2019-09-06 14:22:37.542608	24
2019-09-06 15:12:06.756028	11
2019-09-09 08:10:36.504711	2
2019-09-09 08:41:27.203067	1
2019-09-09 09:38:00.093452	1
2019-09-09 10:47:36.391120	1
2019-09-09 11:34:59.713625	1
2019-09-09 12:13:23.909643	1
2019-09-09 14:09:00.244726	1
2019-09-09 16:00:50.587124	1
2019-09-10 08:30:53.881064	24
2019-09-10 08:53:20.875740	1
